name,category,Purveyor1,Purveyor2,Purveyor3,Amount,unit,SKU,description,price
"Arugula, wild",Produce,DG,,,1,bu,,,
"Artichokes, baby",Produce,MARTIN,,,2,cs,,,
Apples,Produce,MARKET,,,1,ea,,,
"Beets, baby, mix",Produce,MARTIN,,,1,cs,,,
Broccoli di cicco,Produce,MARTIN,,,4,cs,,,
Broccoli rabe,Produce,MARTIN,,,1,lb,,,
Brussel sprouts,Produce,MARTIN,,,1,cs,,,
"Carrots, ice top",Produce,COOKS,GL,,6,bu,,,
"Carrots, jumbo loose",Produce,COOKS,,,10,lb,,,
Cauliflower,Produce,GL,,,1,cs,,,
Celery,Produce,COOKS,,,3,ea,,,
"Chicories, mix county line",Produce,GL,DG,,1,lb,,,
"Chile, red fresno",Produce,COOKS,GL,,2,lb,,,
"Cucumber, kirby",Produce,COOKS,GL,,3,lb,,,
"Endive, curly",Produce,MARTIN,,,5,lb,,,
Fennel,Produce,GL,,,12,ea,,,
"Garlic, whole clove",Produce,COOKS,GL,,10,lb,,,
"Greens, dandilion",Produce,DG,,,1,bu,,,
Horseradish,Produce,COOKS,,,1,lb,,,
"Kale, dino",Produce,COOKS,,,10,lb,,,
"Lemons, fancy 140 ct",Produce,COOKS,,,1,cs,,,
"Lettuce, butter",Produce,GL,,,1,lb,,,
"Lettuce, little gem",Produce,MARTIN,,,1,cs,,,
"Lettuce, romaine hearts",Produce,COOKS,,,1,ea,,,
"Mushrooms, maitake",Produce,FWF,,,3,lb,,,
"Mushrooms, piopinni",Produce,FWF,,,3,lb,,,
"Mushrooms, portabello",Produce,FWF,,,1,cs,,,
"Onion, red",Produce,COOKS,GL,,25,lb,,,
"Onion, spanish",Produce,COOKS,,,5,lb,,,
"Onions, calcot",Produce,MARTIN,,,5,lb,,,
"Orange, navel, medium fancy",Produce,COOKS,,,5,lb,,,
"Peppers, baby sweet",Produce,COOKS,,,4,ea,,,
Pomegranate,Produce,,,,2,ea,,,
"Potatoes, kenebeck",Produce,COOKS,GL,,1,cs,,,
"Potatoes, fingerling",Produce,GL,,,5,lb,,,
"Potatoes, yukon, lrg",Produce,COOKS,,,10,lb,,,
Puntarelle,Produce,DG,,,1,ea,,,
"Radicchio, mix",Produce,MARTIN,,,12,lb,,,
Romanesco,Produce,COOKS,,,1,cs,,,
Scallions,Produce,MARTIN,,,6,bu,,,
"Shallots, large",Produce,COOKS,,,5,lb,,,
Sunchoke,Produce,MARTIN,GL,,8,lb,,,
"Turnips, baby tokyo",Produce,GL,MARTIN,,1,cs,,,
"Treviso, small",Produce,COOKS,GL,,1,cs,,,
"Radishes, easter egg",Produce,COOKS,GL,,1,cs,,,
,,,,,,,,,
Basil,Herbs,COOKS,GL,,3,bu,,,
"Bays, fresh",Herbs,COOKS,,,0.5,lb,,,
Chives,Herbs,COOKS,,,0.5,doz,,,
"Marjoram, jacob's farm",Herbs,COOKS,,,2,doz,,,
Mint,Herbs,COOKS,,,3,bu,,,
Oregano,Herbs,COOKS,,,3,bu,,,
"Parsley, itlalian flat, sml",Herbs,GL,,,1.5,doz,,,
Rosemary,Herbs,GL,,,2,doz,,,
Sage,Herbs,GL,,,0.5,doz,,,
Tarragon,Herbs,COOKS,,,0.5,doz,,,
Thyme,Herbs,COOKS,,,0.5,doz,,,
,,,,,,,,,
"Blue, Pt. Reyes bay",Dairy,CHEFS,,,1,ea,,,
"Blue, Pt. Reyes farmstead",Dairy,ITAL,,,1,ea,,,
"Butter, unsalted",Dairy,CHEFS,VC,,1,cs,,,
Buttermilk,Dairy,CHEFS,VC,,2,hgl,,,
"Cream, heavy, clover",Dairy,GL,,,6,hgl,,,
"Crème fraiche, kendall farms",Dairy,GL,,,2,ea,,,
"Eggs, xlrg",Dairy,CHEFS,VC,GL,1,cs,,,
Fage total,Dairy,CHEFS,GL,,1,cs,,,
"Marscapone, zanetti",Dairy,VC,,,6,ea,,,
"Mascarpone, bel gioso",Dairy,CHEFS,,,1,ea,,,
"Milk, whole, stauss barista",Dairy,GL,GL,VC,6,hgl,,,
"Mozzerella, pt reyes",Dairy,TOM,,,1,ea,,,
Parmesan reggiano,Dairy,CHEFS,ITAL,,0.125,ea,,,
Pecorino romano,Dairy,ITAL,,,1,ea,,,
"Pecorino sardo, matica",Dairy,CHEFS,,,1,ea,,,
"Pecorino toscano fresco, il forteto",Dairy,ITAL,,,3,ea,,,
"Pecorino, sardo fiore",Dairy,ITAL,,,2,ea,,,
"Provolone, aged",Dairy,FRESCA,,,1,ea,,,
"Ricotta, whey, bellwether",Dairy,CHEFS,TOM,GL,3,ea,,,
Ricotta solatta,Dairy,GL,,,1,ea,,,
"Sotocenere tartufo, small",Dairy,TOM,,,4,ea,,,
Taleggio,Dairy,TOM,ITAL,FR,2,ea,,,
,,,,,,,,,
"Italian batard, double",Bread,ACME,,,1,ea,,,
Ciabatta,Bread,ACME,,,1,ea,,,
Cranberry walnut,Bread,ACME,,,1,ea,,,
,,,,,,,,,
Coppa piquante,Cured Meats,CHEFS,,,2,ea,,,
Guanciale,Cured Meats,CHEFS,,,1,cs,,,
Mortadella,Cured Meats,ITAL,,,1,ea,,,
"Pancetta, la quercia",Cured Meats,CHEFS,,,1,cs,,,
"Prosciutto americano, LQ boneless",Cured Meats,CHEFS,,,1,ea,,,
"Proscuitto, acorn, LQ boneless",Cured Meats,CHEFS,,,1,ea,,,
"Proscuitto, san daniele 16 mo",Cured Meats,CHEFS,ITAL,,1,ea,,,
"Speck americano, LQ boneless",Cured Meats,CHEFS,,,1,ea,,,
"Speck, alto adige",Cured Meats,CHEFS,ITAL,,1,ea,,,
"Bottarga, mullet",Cured Meats,CHEFS,W2T,,2,ea,,,
"Lardo, LQ",Cured Meats,CHEFS,,,1,ea,,,
,,,,,,,,,
"Blue, Pt. Reyes bay, cow",Cheese Board,CHEFS,,,1,ea,,,
"Dry jack reserve, cow",Cheese Board,TOM,,,1,ea,,,
"Funky bleats, goat",Cheese Board,TOM,,,1,ea,,,
Gorganzola piquante,Cheese Board,ITAL,,,0.25,ea,,,
"Nerina, agri langa, goat",Cheese Board,FRESCA,,,1,cs,,,
"Pecorino ginepro, sheep",Cheese Board,TOM,,,1,ea,,,
"Pecorino, brillo chianti, sheep",Cheese Board,CHEFS,,,1,ea,,,
"Red hawk, cow",Cheese Board,TOM,,,2,ea,,,
"Sophia, goat",Cheese Board,TOM,,,1,ea,,,
"Strachittund val tellegio, cow",Cheese Board,FRESCA,,,1,ea,,,
"Taleggio valsassina, cow",Cheese Board,ITAL,,,1,ea,,,
"Taleggio, casarrigoni fresca",Cheese Board,FRESCA,,,1,ea,,,
"Taleggio, DOP",Cheese Board,TOM,,,2,ea,,,
Smoky blue,Cheese Board,TOM,,,1,ea,,,
,,,,,,,,,
"Anchovies, recca/ortiz",Dry Goods,ITAL,,,4,ea,,,
Baking powder,Dry Goods,CHEFS,,,1,ea,,,
"Calabrian chiles, whole",Dry Goods,CASA,,,1,ea,,,
"Capers, salt packed, lilliput",Dry Goods,CASA,,,2,ea,,,
Chickpeas,Dry Goods,CASA,,,5,kg,,,
"Chocolate, dark, tcho",Dry Goods,PG,GL,,1,ea,,,
"Chocolate, white",Dry Goods,CHEFS,,,1,ea,,,
"Cocoa, tcho",Dry Goods,PG,GL,,1,ea,,,
"Colatura, iasa",Dry Goods,PG,,,3,ea,,,
Cornichons,Dry Goods,CHEFS,,,1,ea,,,
"Cornmeal, semi-fine yellow",Dry Goods,ANSON,,,25,lb,,,
Cornstarch,Dry Goods,CHEFS,,,5,lb,,,
Farro,Dry Goods,CASA,ITAL,CHEFS,1,ea,,,
"Flour, 14%, unbleached, giusto's",Dry Goods,ITAL,,,1,ea,,,
"Flour, ap",Dry Goods,CHEFS,,,1,ea,,,
"Flour, semolina rimacinata, molino pasini",Dry Goods,CASA,,,2,ea,,,
Geletatin sheets,Dry Goods,CHEFS,,,1,ea,,,
"Lady fingers, bonomi",Dry Goods,ITAL,CHEFS,,1,cs,,,
"Mustard, dijon",Dry Goods,CHEFS,,,1,ea,,,
"Nuts, almonds, natural",Dry Goods,CHEFS,,,5,lb,,,
"Nuts, hazelnuts, raw",Dry Goods,CHEFS,,,5,lb,,,
"Nuts, pinenuts, raw",Dry Goods,CHEFS,,,5,lb,,,
"Nuts, walnut pieces",Dry Goods,CHEFS,,,5,lb,,,
"Oil, capezzana",Dry Goods,ITAL,,,1,cs,,,
"Oil, extra virgin, titone",Dry Goods,ITAL,PG,,1,cs,,,
"Oil, fiordiolo",Dry Goods,CASA,,,1,ea,,,
"Oil, grapeseed",Dry Goods,CHEFS,,,2,ea,,,
"Oil, lemon agrumato",Dry Goods,CHEFS,,,1,ea,,,
"Oil, olio nuevo",Dry Goods,PG,,,1,cs,,,
"Oil, olio verde",Dry Goods,PG,CHEFS,ITAL,1,cs,,,
"Oil, peanut",Dry Goods,CHEFS,VC,,5,ea,,,
"Oil, santa chiara",Dry Goods,ITAL,,,3,ea,,,
"Oil, seka black 9L",Dry Goods,ITAL,,,6,ea,,,
"Oil, seka green 9L",Dry Goods,ITAL,,,2,ea,,,
"Olives, black cured",Dry Goods,ITAL,,,1,ea,,,
"Olives, castleveltrano, pitted",Dry Goods,ITAL,,,1,ea,,,
"Olives, catleveltrano",Dry Goods,CHEFS,,,1,ea,,,
"Olives, taggiasca",Dry Goods,CHEFS,ITAL,,1,ea,,,
PG tips,Dry Goods,AMAZON,,,1,cs,,,
"Quinoa, black",Dry Goods,PG,,,10,lb,,,
"Raisins, golden/mix",Dry Goods,PG,MARKET,,5,lb,,,
"Salt, jacobsen/maldon",Dry Goods,CHEFS,,,1,tub,,,
"Salt, kosher",Dry Goods,CHEFS,,,1,cs,,,
"Salt, trapani sea",Dry Goods,CASA,,,25,kg,,,
"Seeds, pumpkin raw",Dry Goods,ITAL,,,5,lb,,,
"Seeds, white sesame",Dry Goods,CHEFS,,,1,ea,,,
"Sugar, confectioners",Dry Goods,INSTACART,,,4,lb,,,
"Sugar, demerara",Dry Goods,CHEFS,,,1,cs,,,
"Sugar, granulated",Dry Goods,CHEFS,,,1,ea,,,
"Sugar, trimoline",Dry Goods,CHEFS,,,1,ea,,,
"Tomatoes, bianco",Dry Goods,ITAL,,,3,cs,,,
"Tuna, chunk in oil",Dry Goods,PG,,,2,ea,,,
"Tuna, flott/ortiz",Dry Goods,ITAL,,,1,ea,,,
Vanilla extract,Dry Goods,CHEFS,,,1,ea,,,
Vegaline,Dry Goods,CHEFS,,,1,cs,,,
"Vinegar, apple cider",Dry Goods,ITAL,,,1,cs,,,
"Vinegar, balsamic villa manadori",Dry Goods,CHEFS,PG,,2,ea,,,
"Vinegar, champagne vinegar",Dry Goods,PG,,,1,gal,,,
"Vinegar, mead honey",Dry Goods,ITAL,,,1,cs,,,
"Vinegar, red wine sparrow lane",Dry Goods,CHEFS,,,1,gal,,,
"Vinegar, red wine, volpaia",Dry Goods,PG,,,1,cs,,,
"Vinegar, white wine, volpaia",Dry Goods,PG,,,3,ea,,,
"Vinegar, vincotto",Dry Goods,CHEFS,ITAL,,3,ea,,,
"Vinegar, quince",Dry Goods,ITAL,,,4,ea,,,
White bread,Dry Goods,CHEFS,,,1,cs,,,
"Wine, marsala",Dry Goods,S.COM,,,3,cs,,,
"Wine, red",Dry Goods,CASA,ITAL,,2,cs,,,
"Wine, white",Dry Goods,CASA,ITAL,,3,cs,,,
"Yeast, fresh",Dry Goods,CHEFS,ITAL,,2,ea,,,
,,,,,,,,,
All spice,Spices & Herbs,PG,,,1,lb,,,
"Black pepper, tellicherry",Spices & Herbs,PG,,,1,lb,,,
Cinnamon sticks,Spices & Herbs,PG,,,1,lb,,,
"Cinnamon, ground",Spices & Herbs,PG,,,1,lb,,,
"Cloves, whole",Spices & Herbs,PG,,,1,lb,,,
Coriander,Spices & Herbs,PG,,,1,lb,,,
Cumin,Spices & Herbs,PG,,,1,lb,,,
Fennel pollen,Spices & Herbs,PG,,,1,ea,,,
Fennel seeds,Spices & Herbs,PG,,,1,lb,,,
Juniper berries,Spices & Herbs,PG,,,1,lb,,,
"Mace, ground",Spices & Herbs,CHEFS,,,1,lb,,,
Nutmeg,Spices & Herbs,PG,,,1,lb,,,
"Oregano, dried",Spices & Herbs,CASA,,,1,ea,,,
"Paprika, la dalia",Spices & Herbs,CHEFS,,,2,ea,,,
Pequin chili,Spices & Herbs,CHEFS,COOKS,,1,lb,,,
Star anise,Spices & Herbs,PG,,,1,lb,,,
Sumac,Spices & Herbs,CHEFS,,,1,ea,,,
Wild fennel seed,Spices & Herbs,CASA,,,1,ea,,,
,,,,,,,,,
16 oz containers w/ lids,Paper,CHEFS,,,1,cs,,,
2 oz togo containers w/ lids,Paper,CHEFS,,,1,cs,,,
32 oz containters w/ lids,Paper,CHEFS,,,1,cs,,,
8 oz containers,Paper,CHEFS,,,1,cs,,,
"Alluminum, 18"", heavy duty",Paper,CHEFS,,,1,ea,,,
Butcher twine,Paper,CHEFS,,,1,ea,,,
"C-folds, morex blue",Paper,CHEFS,,,2,cs,,,
"Can liners, 13 gal blk",Paper,CHEFS,,,1,cs,,,
"Can liners, 13 gal clr",Paper,CHEFS,,,1,cs,,,
"Can liners, 13 gal gr comp",Paper,CHEFS,,,1,cs,,,
"Can liners, 33 gal blk",Paper,CHEFS,,,1,cs,,,
"Can liners, 33 gal clr",Paper,CHEFS,,,1,cs,,,
"Can liners, 55 gal green",Paper,CHEFS,,,1,cs,,,
"Can liners, 100 gal black",Paper,AMAZON,,,1,cs,,,
"Candle, 10 hr oil wic",Paper,CHEFS,,,2,cs,,,
"Candles, birthday",Paper,CHEFS,,,1,cs,,,
Cheesecloth,Paper,CHEFS,,,1,ea,,,
"Freezer bags, 1 gal",Paper,CHEFS,,,1,cs,,,
"Gloves, lrg pow free",Paper,CHEFS,,,4,ea,,,
"Gloves, med pow free",Paper,CHEFS,,,4,ea,,,
"Gloves, sm pow free",Paper,CHEFS,,,4,ea,,,
Grill brick,Paper,CHEFS,,,1,ea,,,
Grill brush,Paper,CHEFS,,,1,ea,,,
Hairnets,Paper,CHEFS,,,1,cs,,,
Metal scrubbies,Paper,CHEFS,,,1,cs,,,
Mop head,Paper,CHEFS,,,1,cs,,,
"Mop stick, c-clamp",Paper,CHEFS,,,1,ea,,,
"Napkins, white",Paper,CHEFS,,,2,cs,,,
Parchment,Paper,CHEFS,,,1,ea,,,
Pastry bags,Paper,CHEFS,,,1,ea,,,
"Plastic wrap, 12""",Paper,CHEFS,,,1,ea,,,
"Plastic wrap, 18""",Paper,CHEFS,,,1,ea,,,
"Scrubber pads, green",Paper,CHEFS,,,1,cs,,,
"Skewers, 4"" bamboo w/ knot",Paper,CHEFS,,,1,cs,,,
"Skewers, 6"" wood",Paper,CHEFS,,,1,cs,,,
"Tape, green painter's",Paper,CHEFS,,,1,cs,,,
TOGO bags w/ handle,Paper,CHEFS,,,1,cs,,,
"TOGO container #1, sml",Paper,CHEFS,,,1,cs,,,
"TOGO container #3, lrg",Paper,CHEFS,,,1,cs,,,
Toilet paper,Paper,CHEFS,,,1,cs,,,
,,,,,,,,,
"Agave, blue",Bar,CHEFS,,,2,ea,,,
"Almond milk, unsweetened",Bar,PG,,,1,cs,,,
"Chocolate, dandilion",Bar,DAND,,,1,ea,,,
Cinnamon sticks,Bar,PG,,,1,lb,,,
"Coke, mexican",Bar,CHEFS,,,1,cs,,,
Elderflower syrup,Bar,PG,,,1,cs,,,
"Heavy cream, clover",Bar,GL,,,1,hgl,,,
Maple syrup,Bar,CHEFS,,,1,ea,,,
"Milk, straus whole",Bar,GL,,,1,hgl,,,
"Olives, barnier picholine",Bar,CHEFS,,,1,ea,,,
"Plastic wrap, 6"" serrated",Bar,CHEFS,,,1,ea,,,
Star anise,Bar,CHEFS,PG,,1,ea,,,
"Straws, 5.5"" blk stir",Bar,CHEFS,,,1,cs,,,
"Straws, 7.9"" compostable jumbo",Bar,CHEFS,,,1,cs,,,
"Straws, 8"" blk stir",Bar,CHEFS,,,1,cs,,,
"Sugar, organic cane",Bar,CHEFS,,,25,lb,,,
,,,,,,,,,
Anchovies,Fish & Shellfish,W2T,,,1,lb,,,
"Clams, cherrystone, Maine",Fish & Shellfish,W2T,,,40,ea,,,
"Clams, manilla, Washington",Fish & Shellfish,W2T,,,3,lb,,,
"Clams, razor",Fish & Shellfish,,,,,,,,
"Clams, wild butter, Oregon",Fish & Shellfish,2XSEA,,,1,lb,,,
Cod,Fish & Shellfish,W2T,,,,,,,
"Crab, live dungeness",Fish & Shellfish,W2T,,,,,,,
"Halibut, wild/local",Fish & Shellfish,W2T,,,,,,,
"Mussels, mediterranean",Fish & Shellfish,W2T,,,,,,,
"Octopus, baby .5-1#, spain",Fish & Shellfish,W2T,,,20,lb,,,
"Sardines, fresh",Fish & Shellfish,2XSEA,,,1,lb,,,
"Trout, mt. lassen",Fish & Shellfish,W2T,,,1,lb,,,
,,,,,,,,,
Chicken carcasses,Meat,GG,,,,,,,
Chicken liver,Meat,HOFFMAN,,,1,lb,,,
Hog casings,Meat,,,,1,ea,,,
"Lamb breast, bone in",Meat,MARIN,,,,,,,
